081735923.box.freepro.com|Jaguar Network SAS
doh.appliedprivacy.net|Nessus GmbH. AT
doh.argh.in|DigitalOcean, LLC
doh.bortzmeyer.fr|OVH SAS. FR
doh.bt.com|British Telecommunications PLC
doh.ccb-net.it|Cloudflare, Inc. (CDN)
doh.cleanbrowsing.org|Daniel Cid
doh.crypto.sx|Crypto
doh.datacore.ch|Init7 (Switzerland) Ltd.
doh.dht.prd.live.c2szps.akadns.net|NetActuate, Inc
doh.dns.apple.com.v.aaplimg.com|WoodyNet, Inc.
doh.dns4all.eu|Stichting Internet Domeinregistratie Nederland
doh.dnslify.com|PEERIX LTD
doh.dscloud.me|The Constant Company, LLC
doh.ffmuc.net|Freie Netze Muenchen e.V.
doh.futa.gg|Cloudflare, Inc. (CDN)
doh.ibr.cs.tu-bs.de|Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.
doh.killtw.im|Cloudflare, Inc. (CDN)
doh.la.ahadns.net|HostHatch, LLC
doh.lacontrevoie.fr|SERVERD SAS
doh.libredns.gr|Hetzner Online GmbH
doh.li|DigitalOcean, LLC
doh.luigi.nexific.it|Hetzner Online GmbH
doh.lv|Institute of Mathematics and Computer Science of University of Latvia
doh.mullvad.net|Mullvad VPN AB.
doh.nic.lv|Institute of Mathematics and Computer Science of University of Latvia
doh.niyawe.de|Hetzner Online GmbH
doh.nl.ahadns.net|HostHatch, LLC
doh.onedns.net|Beijing Guanghuan Xinwang Digital
doh.opendns.com|Cisco Technology, Inc. US
doh.pub|Beijing Founder Broadband Network Technology Co., Ltd. Warning: Don't use.
doh.pyry.me|Elisa Oyj
doh.rezhajul.io|Amazon Technologies Inc.
doh.safesurfer.io|Google Cloud
doh.sungai.stream|Oracle Corporation SG
doh.tiar.app|Myrepublic Limited. SG
doh.tiarap.org|Myrepublic Limited with Cloudflare CDN. SG
doh.xcom.pro|OVH SAS
doh003.280blocker.net|The Constant Company, LLC
doh2.gslb2.xfinity.com|Comcast Cable Communications, LLC
doh3001.wikimedia.org|Wikimedia Foundation Inc.
doh4002.wikimedia.org|Wikimedia Foundation Inc.
dohtrial.att.net|Microsoft Corporation US
dotdns.cryptroute.com|Amazon.com, Inc.
doth.huque.com|Amazon Technologies Inc. (EC2)
dubov.xyz|Contabo GmbH
dukun.de|netcup GmbH
ec2-18-139-84-250.ap-southeast-1.compute.amazonaws.com|Amazon.com, Inc.
ec2-18-158-69-254.eu-central-1.compute.amazonaws.com|Amazon.com, Inc.
ec2-18-195-203-141.eu-central-1.compute.amazonaws.com|Amazon.com, Inc.
ec2-18-210-8-52.compute-1.amazonaws.com|Amazon.com, Inc.
ec2-18-216-182-207.us-east-2.compute.amazonaws.com|Amazon.com, Inc.
ec2-3-10-65-124.eu-west-2.compute.amazonaws.com|Amazon.com, Inc.
ec2-3-112-124-189.ap-northeast-1.compute.amazonaws.com|Amazon.com, Inc.
ec2-3-128-212-186.us-east-2.compute.amazonaws.com|Amazon.com, Inc.
ec2-3-143-134-80.us-east-2.compute.amazonaws.com|Amazon.com, Inc.
ec2-3-208-47-162.compute-1.amazonaws.com|Amazon.com, Inc.
ec2-3-209-17-34.compute-1.amazonaws.com|Amazon.com, Inc.
ec2-3-224-109-152.compute-1.amazonaws.com|Amazon.com, Inc.
ec2-3-232-78-158.compute-1.amazonaws.com|Amazon.com, Inc.
ec2-3-248-149-109.eu-west-1.compute.amazonaws.com|Amazon.com, Inc.
ec2-3-7-176-123.ap-south-1.compute.amazonaws.com|Amazon.com, Inc.
ec2-34-197-6-94.compute-1.amazonaws.com|Amazon.com, Inc.
ec2-34-247-230-158.eu-west-1.compute.amazonaws.com|Amazon.com, Inc.
ec2-35-154-138-96.ap-south-1.compute.amazonaws.com|Amazon.com, Inc.
ec2-44-196-1-61.compute-1.amazonaws.com|Amazon.com, Inc.
ec2-44-233-140-212.us-west-2.compute.amazonaws.com|Amazon.com, Inc.
ec2-44-241-0-134.us-west-2.compute.amazonaws.com|Amazon.com, Inc.
ec2-52-16-163-185.eu-west-1.compute.amazonaws.com|Amazon.com, Inc.
ec2-52-17-180-181.eu-west-1.compute.amazonaws.com|Amazon.com, Inc.
ec2-52-18-44-241.eu-west-1.compute.amazonaws.com|Amazon.com, Inc.
ec2-52-19-206-74.eu-west-1.compute.amazonaws.com|Amazon.com, Inc.
ec2-52-198-13-66.ap-northeast-1.compute.amazonaws.com|Amazon.com, Inc.
ec2-52-209-174-126.eu-west-1.compute.amazonaws.com|Amazon.com, Inc.
ec2-52-215-49-128.eu-west-1.compute.amazonaws.com|Amazon.com, Inc.
ec2-52-31-171-166.eu-west-1.compute.amazonaws.com|Amazon.com, Inc.
ec2-52-31-191-149.eu-west-1.compute.amazonaws.com|Amazon.com, Inc.
ec2-52-43-41-34.us-west-2.compute.amazonaws.com|Amazon.com, Inc.
ec2-52-44-142-142.compute-1.amazonaws.com|Amazon.com, Inc.
ec2-52-48-147-197.eu-west-1.compute.amazonaws.com|Amazon.com, Inc.
ec2-52-49-195-5.eu-west-1.compute.amazonaws.com|Amazon.com, Inc.
ec2-52-76-245-252.ap-southeast-1.compute.amazonaws.com|Amazon.com, Inc.
ec2-54-155-209-93.eu-west-1.compute.amazonaws.com|Amazon.com, Inc.
ec2-54-169-113-231.ap-southeast-1.compute.amazonaws.com|Amazon.com, Inc.
ec2-54-171-175-41.eu-west-1.compute.amazonaws.com|Amazon.com, Inc.
ec2-54-172-110-180.compute-1.amazonaws.com|Amazon.com, Inc.
ec2-54-189-234-230.us-west-2.compute.amazonaws.com|Amazon.com, Inc.
ec2-54-194-121-142.eu-west-1.compute.amazonaws.com|Amazon.com, Inc.
ec2-54-227-13-144.compute-1.amazonaws.com|Amazon.com, Inc.
ec2-54-237-181-250.compute-1.amazonaws.com|Amazon.com, Inc.
ec2-54-246-187-60.eu-west-1.compute.amazonaws.com|Amazon.com, Inc.
ec2-54-72-41-135.eu-west-1.compute.amazonaws.com|Amazon.com, Inc.
ec2-54-73-239-183.eu-west-1.compute.amazonaws.com|Amazon.com, Inc.
ec2-54-79-3-18.ap-southeast-2.compute.amazonaws.com|Amazon.com, Inc.
echoe1yidzu4ioo5.myfritz.net|Deutsche Telekom AG
edgy-dns.com|Amazon Technologies Inc.
esel.stusta.mhn.de|Leibniz-Rechenzentrum
esourcing.hubwoo.com|PROACTIS SA
every1dns.com|Cloudflare Proxy
externalmobiel.lekdijk.online|IONOS SE
family.5ososea.com|netcup GmbH
family.canadianshield.cira.ca|CIRA Canadian Internet Registration Authority Autorit Canadienne pour les enregistrements Internet
family.cloudflare-dns.com|Cloudflare Family
fio.ze1.org|Hetzner Online GmbH
free.shecan.ir|AsiaTech (WARNING: DO NOT USE THIS SERVER)
freedns.controld.com|CONTROLD INC.
freedom.mydns.network|Cloudflare, Inc. (CDN)
frog.dns.qwer.pw|Oracle Corporation
fuchur.pentament.de|Hetzner Online GmbH
galileo.math.unipd.it|Consortium GARR
gateway.fomichev.cloud|Vultr Holdings, LLC
gmbeta.snapon.com|AT&T Services, Inc.
gztech.me|Cloudflare, Inc. (CDN)
h202-218-2-19.ablenetvps.ne.jp|IDC Frontier Inc.
helios.plan9-dns.com|The Constant Company, LLC
help.avantec.ch|green.ch AG
hitian.me|Akamai Technologies, Inc.
hkhkg1-doh-002.aaplimg.com|Apple Inc.
honeywell.hubwoo.com|PROACTIS SA
host-203-204-102-17.static.kbtelecom.net|Confluence Networks Inc
host-83-69-169-222.ncp.ru|New-Com Trade Ltd.
host-83-69-169-69.ncp.ru|New-Com Trade Ltd.
host86-159-144-0.range86-159.btcentralplus.com|British Telecommunications PLC
ibksturm.synology.me|Datapark AG Switzerland
ibuy-nationwide.hubwoo.com|PROACTIS SA
ihctw.synology.me|Chunghwa Telecom Co., Ltd.
in.ahadns.net|Akamai Technologies, Inc.
ines.zfn.uni-bremen.de|Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.
ip186.ip-176-31-83.eu|OVH SAS
ip195.ip-178-32-196.eu|OVH SAS
ip232.ip-51-81-224.us|OVH SAS
ipv4-zepto-mci-1.edge.nextdns.io|Misaka Network, Inc.
iris.woozeno.eu|GANDI SAS
ivnkn.xyz|Cloudflare, Inc. (CDN)
jackyes.ovh|Contabo GmbH
jiratest.app.msg-life.com|M-net Telekommunikations GmbH
jp.68360612.xyz|xTom GmbH
jp.tiar.app|Myrepublic Limited. JP
jp.tiarap.org|Myrepublic Limited with Cloudflare CDN
jurre-home.duckdns.org|Vodafone Libertel B.V.
kaitain.restena.lu|Fondation RESTENA
kids.5ososea.com|netcup GmbH
kids.dns0.eu|GANDI SAS
kronos.plan9-dns.com|The Constant Company, LLC
labs.syshero.org|DigitalOcean, LLC
lastentarvike.fi|DNA Oyj
laureline.eu.org|Hivane
leecurrylawfirm.com|Cloudflare, Inc. (CDN)
link.altapo.ru|JSC IOT Russia
lion.dns.qwer.pw|Oracle Corporation
lion.yazilimatolye.com|IONOS SE
ll194-11-251-204-194.ll194.iam.net.ma|Office National des Postes et Telecommunications ONPT (Maroc Telecom) / IAM
ll194-13-251-204-194.ll194.iam.net.ma|Office National des Postes et Telecommunications ONPT (Maroc Telecom) / IAM
lon.ns.junesta.net|The Constant Company, LLC
mail.data.haus|Hetzner Online GmbH
mail.dnswl.org|Bradler & Krantz GmbH & Co. KG
mail.jabber-germany.de|netcup GmbH
mail.masters-of-cloud.de|netcup GmbH
mail21.es.34web.net|acens Technologies, S.L.
mailer.amlegion.org|OVH SAS
majesty.trez0r.eu|OVH SAS
manta.offline.net|ONLINE S.A.S.
max.rethinkdns.com|Fly.io, Inc.
mozilla.cloudflare-dns.com|Cloudflare, Inc.
msccbeta.snapon.com|AT&T Services, Inc.
muli.stusta.mhn.de|Leibniz-Rechenzentrum
n0.eu|The Constant Company, LLC
n5.lsasss.com|NetOne Rus JSC
nagios.snapon.com|Incapsula Inc
nl-ams01.dns.moulticast.net|The Constant Company, LLC
noads.imbuffering.com|Oracle Corporation UK
notmike.dev|Michael Jones
ns-p-ep-c.raclus.net|Prisco Electronica S.L.
ns.doh-ns.de|Hetzner Online GmbH
ns0.servus.at|ACONET
ns01.iij4u.or.jp|Internet Initiative Japan Inc.
ns02.iij4u.or.jp|Internet Initiative Japan Inc.
ns03.iij4u.or.jp|Internet Initiative Japan Inc.
ns05.iij.ad.jp|Internet Initiative Japan Inc.
ns1.dotls.org|DMIT Cloud Services
ns1.flodns.net|VeryGames
ns1.highnet.com|Highland Network Ltd
ns1.netent.co.nz|Vocus Group NZ
ns14.iij.ad.jp|Internet Initiative Japan Inc.
ns15.iij.ad.jp|Internet Initiative Japan Inc.
ns2-r.primary.net.ua|"DV CLOUD" LLC
ns2.cloudwebservices.nl|Bryan Barbolina trading as Cloudwebservices
ns2.flodns.net|VeryGames
ns2.highnet.com|Highland Network Ltd
ns2.nodefield.net|Suomi Communications Oy
ns2.tausch.co|Hetzner Online GmbH
ns22.iij.ad.jp|Internet Initiative Japan Inc.
ns3.bit-trail.nl|Cldin B.V
ns3.com|Google LLC (CDN)
ns3.cx|Google LLC (CDN)
ns3.i-evolve.net|I-Evolve Technology Services
ns3.link|Google LLC (CDN)
ns4.highnet.com|Highland Network Ltd
ns4.iij.ad.jp|Internet Initiative Japan Inc.
ns51.iij.ad.jp|Internet Initiative Japan Inc.
ns53.iij.ad.jp|Internet Initiative Japan Inc.
ns70.iij.ad.jp|Internet Initiative Japan Inc.
nsb.tul.cz|CESNET z.s.p.o.
nsc.torgues.net|MilkyWan Association
nz01.dns4me.net|RIMU HOSTING LIMITED
o.rsaikat.com|Oracle Public Cloud
o1.lt|Oracle Corporation NL
odoh-target-se.alekberg.net|MVPS LTD
odoh-target.alekberg.net|MVPS LTD
odoh.cloudflare-dns.com|Cloudflare, Inc.
odvr-b-99.nic.cz|CZ.NIC, z.s.p.o.
odvr.nic.cz|CZ.NIC, z.s.p.o.
one.one.one.one|Cloudflare, Inc.
oraclejp2.chungyu.com|Oracle Corporation
orau.lz0724.com|Oracle Corporation
ordns.he.net|Hurricane Electric LLC
os-ns2.fbi.h-da.de|Man-da.de GmbH
pacte.int.hubwoo.com|PROACTIS SA
pair01-02.ihatemy.live|Hetzner Online GmbH
pates.services.sfr.fr.casepp.sfr.fr|Societe Francaise Du Radiotelephone - SFR SA
paymentsbeta.snapon.com|AT&T Services, Inc.
per-pure01.cns.2iij.net|Internet Initiative Japan Inc.
per-pure011.cns.2iij.net|Internet Initiative Japan Inc.
per-pure211.cns.2iij.net|Internet Initiative Japan Inc.
per-pure220.cns.2iij.net|Internet Initiative Japan Inc.
per-secure011.cns.2iij.net|Internet Initiative Japan Inc.
per-secure210.cns.2iij.net|Internet Initiative Japan Inc.
per.adfilter.net|Mammoth Media Pty Ltd
per1711.cns.2iij.net|Internet Initiative Japan Inc.
pi1.node15.com|Microsoft Corporation
pihole.aws.ketan.dev|Amazon Technologies Inc.
pihole.datamatter.co.za|Xneelo (Pty) Ltd
pihole1.hoerli.net|Hetzner Online GmbH
pihole1.tvk.rwth-aachen.de|RWTH Aachen University
pihole2.hoerli.net|active 1 GmbH
pl.ahadns.net|HostHatch, LLC
pluton.plan9-dns.com|The Constant Company, LLC
pope.cnblw.me|Hetzner Online GmbH
porschebeta.snapon.com|AT&T Services, Inc.
premium.dns.controld.com|CONTROLD INC.
pro.shecan.ir|AsiaTech (WARNING: DO NOT USE THIS SERVER)
prod-ssa.hubwoo.com|PROACTIS SA
project-evoex.de|IONOS SE
protected.canadianshield.cira.ca|CIRA Canadian Internet Registration Authority Autorit Canadienne pour les enregistrements Internet
ptr.ruvds.com|JSC Mediasoft ekspert
pub-fsr1600.cns.2iij.net|Internet Initiative Japan Inc.
pub-fsr1601.cns.2iij.net|Internet Initiative Japan Inc.
pub-fsr1611.cns.2iij.net|Internet Initiative Japan Inc.
pub-fsr211.cns.2iij.net|Internet Initiative Japan Inc.
pub1.sdns.360.cn|IDC, China Telecommunications Corporation. Warning: Don't use.
public.dns.iij.jp|Internet Initiative Japan Inc.
punono.duckdns.org|Celcom Axiata Berhad
puredns.org|Amazon Technologies Inc.
qlf-doh.inria.fr|Renater
recursive2.go6lab.si|NET42, svetovanje in razvoj internetnih resitev, d.o.o.
redirekcija.t-com.me|Crnogorski Telekom a.d.Podgorica
res-acst1.absolight.net|SARL T1
res-acst2.absolight.net|SARL T2
res-acst3.absolight.net|SARL T3
res110.fra.rrdns.pch.net|WoodyNet, Inc.
resolver.r0cket.net|QuxLabs UG
resolver.rferee.dev|Hetzner Online GmbH
resolver.unstoppable.io|Cloudflare, Inc. (CDN)
resolver1.absolight.net|SARL 1
resolver2.absolight.net|SARL 2
resolver3.absolight.net|SARL 3
ric.openbld.net|Hetzner Online GmbH
riv1-ns01.monzoon.net|Monzoon Networks AG
rn1.pcextreme.nl|CLDIN B.V.
rns.im.spb.ru|Active business systems Ltd.
rpz-public-resolver2.rrdns.pch.net|Quad9
s81-7-14-159.blue.kundencontroller.de|ISPpro Internet KG
s81-7-14-191.blue.kundencontroller.de|ISPpro Internet KG
s81-7-14-215.blue.kundencontroller.de|ISPpro Internet KG
s81-7-14-52.blue.kundencontroller.de|ISPpro Internet KG
s81-7-14-83.blue.kundencontroller.de|ISPpro Internet KG
s81-7-14-85.blue.kundencontroller.de|ISPpro Internet KG
sa01.dns4me.net|Xneelo (Pty) Ltd
safe.kswro.web.id|ColoCrossing
safeservedns.com|Namecheap, Inc.
sbdns.co.in|Oracle Corporation
sby-doh.limotelu.org|Wow Internet Indonesia
secure.onedns.cc|Amazon Technologies Inc. (EC2)
security.cloudflare-dns.com|Cloudflare, Inc.
seppmail.avantec.ch|green.ch AG
servicerangerbeta.snapon.com|AT&T Services, Inc.
sg01.dns4me.net|Amazon Technologies Inc
sgsin3-doh-001.aaplimg.com|Apple Inc.
sgsin3-doh-002.aaplimg.com|Apple Inc.
sgsin3-doh-004.aaplimg.com|Apple Inc.
shalenkov.dev|Hetzner Online GmbH
sink.nolo.ltd|Linode, LLC
sky.rethinkdns.com|Cloudflare, Inc. (CDN)
smtp.mousepanic.de|IONOS SE
sn22.isp.telecom.li|Telecom Liechtenstein AG
snake.ukrnet.net|ADAMANT, Ltd.
snf-880622.vm.okeanos.grnet.gr|National Infrastructures for Research and Technology S.A.
static-108-40-78-219.bltmmd.fios.verizon.net|Verizon Business
static.110.131.203.116.clients.your-server.de|Hetzner Online GmbH
static.225.115.203.116.clients.your-server.de|Hetzner Online GmbH
static.4.105.47.78.clients.your-server.de|Hetzner Online GmbH
static.80.160.119.168.clients.your-server.de|Hetzner Online GmbH
static.81.103.202.116.clients.your-server.de|Hetzner Online GmbH
static.94.213.217.95.clients.your-server.de|Hetzner Online GmbH
static.98.186.34.188.clients.your-server.de|Hetzner Online GmbH
static.98.30.203.116.clients.your-server.de|Hetzner Online GmbH
steering.nextdns.io|Hetzner Online GmbH
storydoh.kinergetica.com|JSC Mediasoft ekspert
syd.adfilter.net|Mammoth Media Pty Ltd
syd01.ns.cbws.xyz|The Constant Company, LLC
techinfobeta.snapon.com|AT&T Services, Inc.
testaghome.meshkov.info|Serveroid, LLC
tj.jamesxue.xyz|IT7 Networks Inc
tk2-202-10895.vs.sakura.ne.jp|SAKURA Internet Inc.
tk31z.com|GMO Internet, Inc.
tor.vasi.li|The Constant Company, LLC
toyotaadebeta.snapon.com|AT&T Services, Inc.
ttag.dns.nomu.pw|Oracle Corporation
tuandns.duckdns.org|Oracle Corporation
twg001.timmes.nl|LeaseWeb Netherlands B.V.
typaza.com|Akamai Technologies, Inc. DE
ueni.dyndns.org|ONLINE S.A.S.
uk01.dns4me.net|Amazon Technologies Inc. (EC2)
uklon5-doh-002.aaplimg.com|Apple Inc.
ultimator3dbeta.snapon.com|AT&T Services, Inc.
unassigned.psychz.net|Psychz Networks
unicast.censurfridns.dk|Telia Company AB
unicast.uncensoreddns.org|Telia Company AB
unova.kescher.at|Contabo GmbH
uranus.plonknet.com|Hetzner Online GmbH
us1.blissdns.net|Linode
usatl4-doh-003.aaplimg.com|Apple Inc.
usbos3-doh-001.aaplimg.com|Apple Inc.
usbos3-doh-002.aaplimg.com|Apple Inc.
uschi5-doh-002.aaplimg.com|Apple Inc.
uschi5-doh-003.aaplimg.com|Apple Inc.
uschi5-doh-004.aaplimg.com|Apple Inc.
usdal4-doh-002.aaplimg.com|Apple Inc.
usden5-doh-002.aaplimg.com|Apple Inc.
uslax1-doh-001.aaplimg.com|Apple Inc.
uslax1-doh-003.aaplimg.com|Apple Inc.
usmia1-doh-002.aaplimg.com|Apple Inc.
usmia1-doh-006.aaplimg.com|Apple Inc.
usscz2-doh-001.aaplimg.com|Apple Inc.
ussea4-doh-003.aaplimg.com|Apple Inc.
uXdns.google|Google LLC
vendorportal-testpp.fbijobs.gov|FBI Criminal Justice Information Systems
vierhoek.student.utwente.nl|SURF B.V.
void-gate.irre.li|Vodafone GmbH
vpn.gosami.xyz|Akamai Technologies, Inc.
vps-0ad116e1.vps.ovh.ca|OVH SAS
vps-77f564f3.vps.ovh.us|OVH SAS
webreportsbeta.snapon.com|AT&T Services, Inc.
www.c-dns.com|China Unicom Shanghai network
www.dnsadguard.co.uk|Linode, LLC
www.morbitzer.de|netcup GmbH
www.muxyuji.ru|AEZA GROUP Ltd
www.nilanjan.rocks|The Constant Company, LLC
wyx.cloud|The Constant Company, LLC
xc.dnsseed.bluematt.me|Windstream Communications LLC
xmission-slc-1.edge.nextdns.io|XMission, L.C.
yarp.lefolgoc.net|OVH SAS
yovbak.com|Amazon Technologies Inc.
zepto-sto-1.edge.nextdns.io|Misaka Network, Inc
zero.dns0.eu|GANDI SAS
zougloub.eu|Videotron Telecom Ltee
zrh1-ns01.monzoon.net|Monzoon Networks AG
[2001:41d0:302:2200::180]|OVH SAS FR IPv6
